Location,motorised,non_motorised
Cam01_1,3.834262594,2.578122832
Cam01_2,-3.042806979,3.998345433
Cam01_3,3.413089363,5.182020063
Cam02_1,3.303199261,1.388402999
Cam02_2,2.923717242,2.370552846
Cam02_3,-1.517847784,-0.723445396
Cam03_1,-2.982484648,5.288096879
Cam03_2,-2.554773072,2.039203664
Cam03_3,-1.734890655,3.796599731
Cam04_1,2.172417684,2.708358828
Cam04_2,-1.752809592,-0.837001307
Cam04_3,1.880399669,1.697741157
Cam05_1,-1.753758631,6.564402077
Cam05_2,-3.063496729,4.92663264
Cam05_3,-1.513271561,5.214375604
Cam06_1,1.293063159,-0.856513257
Cam06_2,2.961221162,4.449437012
Cam06_3,1.012461819,-1.858915924
Cam07_1,-1.387194778,1.757192559
Cam07_2,3.878223401,2.524329691
Cam07_3,-1.154875776,-0.429806984
Cam08_1,3.588669317,4.091475348
Cam08_2,1.016842578,5.335350623
Cam08_3,3.142849205,-0.743122622
Cam09_1,-2.923048058,5.070181374
Cam09_2,-3.106808242,5.136069434
Cam10_1,2.849531915,-0.867788206
Cam10_2,1.667798569,-0.852090892
Cam10_3,-0.538379053,-0.480318031
Cam11_1,1.420763382,0.505637618
Cam11_2,1.805345601,2.40930187
Cam11_3,-0.211494042,0.471567795
Cam12_1,-1.39652903,-1.405256097
Cam12_2,0.544547644,-1.339924352
Cam12_3,-0.682945202,0.260115104
Cam13_1,0.60306972,-0.819770713
Cam13_2,1.410973005,-1.515079948
Cam13_3,0.786055843,1.269494818
Cam14_1,-1.348403137,-1.379033066
Cam14_2,1.136318302,0.267519371
Cam14_3,-1.225534995,-1.335222173
Cam15_1,2.095408091,-0.072914745
Cam15_2,2.482122602,4.4155041
Cam15_3,0.50300671,-0.706772787
Cam16_1,-1.69915504,0.558861835
Cam16_2,0.518067138,-1.86537141
Cam16_3,1.168115834,-0.737759092
Cam17_1,1.634367811,1.924867324
Cam17_2,-1.695604689,-0.795125253
Cam17_3,1.395777511,-0.755717794
Cam18_1,-1.75044893,-0.843107811
Cam18_2,2.506150864,0.785942646
Cam18_3,-0.207956142,-0.740809501
Cam19_1,-1.907143766,-0.91582974
Cam19_2,-2.086566337,-1.873261563
Cam19_3,-0.314725292,-0.784493748
Cam20_1,-1.073499444,-1.536593976
Cam20_2,-1.612364049,-0.758380793
Cam20_3,-2.096040764,-1.868885673
Cam21_1,2.565499344,1.947856741
Cam21_2,-1.612364049,-0.758380793
Cam21_3,-0.128639949,-0.935176727
Cam22_1,1.607828253,-1.541190838
Cam22_2,-2.074966165,-1.859238257
Cam22_3,1.486979803,-0.809991878
Cam23_1,-1.844007088,-0.90847142
Cam23_2,-0.165974254,1.387817769
Cam23_3,-0.07947985,0.475604663
Cam24_1,3.091708281,3.625923123
Cam24_2,3.32213702,2.489418567
Cam24_3,1.789776031,1.570055373
Cam25_1,1.042868672,0.944921957
Cam25_2,3.846553807,1.28166165
Cam25_3,3.347281827,3.389501402
Cam26_1,0.727334665,-0.906139895
Cam26_2,3.054110639,1.777351323
Cam26_3,1.27674488,-1.855071698
Cam27_1,1.361417433,-1.545295146
Cam27_2,-1.601112717,-0.747398488
Cam27_3,2.613177846,-0.475223336
Cam28_1,-1.83125584,-0.897672627
Cam28_2,0.365559815,-0.758380793
Cam28_3,-1.631351258,-0.776009995
Cam29_1,-2.111092259,-0.520161805
Cam29_2,1.230095644,-0.499635385
Cam29_3,-2.568018679,-1.481756879
Cam30_1,-2.09428483,-1.877276267
Cam30_2,-1.598103657,1.297086662
Cam30_3,0.357200976,-1.488493299
Cam31_1,2.90814434,-0.848585033
Cam31_2,0.847929711,-1.769046247
Cam31_3,0.526011378,-0.687998794
Cam32_1,1.187496893,-0.896754272
Cam32_2,0.230078789,-1.860194006
Cam32_3,2.327116359,-0.741837359
Cam33_1,-1.690481949,-0.799814585
Cam33_2,-1.5484736,0.155811114
Cam33_3,1.618441615,-0.75796239
Cam34_1,-0.582096308,0.985294536
